Contour Area,Mean,Blinking,Emotion,Music
335,30.248705,1,3,1
,,,,
304,28.7093,0,3,1
,,,,
335,31.081287,0,3,1
,,,,
335,33.274223,0,5,1
,,,,
304,31.91695,1,3,1
,,,,
335,30.6701,0,3,1
,,,,
335,31.704983,1,3,1
,,,,
399,31.88784,0,3,1
,,,,
335,30.815748,0,3,1
,,,,
335,32.4771,0,3,1
,,,,
374,31.413792,1,5,1
,,,,
399,30.406261,0,3,1
,,,,
399,31.95651,0,3,1
,,,,
399,33.373394,0,3,1
,,,,
337,34.66849,1,3,1
,,,,
399,35.896645,0,5,1
,,,,
399,34.91818,1,3,1
,,,,
335,36.110836,1,3,1
,,,,
399,37.2379,0,5,1
,,,,
335,38.274117,1,3,1
,,,,
399,39.227993,0,3,1
,,,,
304,38.759274,0,3,1
,,,,
399,39.702873,1,3,1
,,,,
399,39.25094,0,3,1
,,,,
335,40.162434,1,3,1
,,,,
304,39.749775,0,3,1
,,,,
399,39.010517,1,3,1
,,,,
335,38.211918,0,3,1
,,,,
399,38.57935,1,3,1
,,,,
399,38.683422,0,3,1
,,,,
348,39.055534,1,3,1
,,,,
304,39.041027,1,3,1
,,,,
335,38.631985,1,3,1
,,,,
337,39.39029,0,3,1
,,,,
335,38.99039,0,3,1
,,,,
348,39.677055,0,3,1
,,,,
304,39.29056,0,3,1
,,,,
335,38.576675,1,3,1
,,,,
304,37.851055,0,3,1
,,,,
335,37.19397,1,3,1
,,,,
399,37.903446,1,3,1
,,,,
304,37.23392,1,3,1
,,,,
335,36.908287,0,3,1
,,,,
323,37.216434,1,5,1
,,,,
342.5,37.213154,1,5,1
,,,,
399,36.895496,0,5,1
,,,,
304,37.21867,1,5,1
,,,,
306,37.879463,1,5,1
,,,,
335,38.48654,0,5,1
,,,,
399,38.755867,1,3,1
,,,,
368,38.775932,0,3,1
,,,,
399,39.32896,0,3,1
,,,,
399,39.019283,1,3,1
,,,,
343.5,38.959743,0,3,1
,,,,
343,38.39204,1,3,1
,,,,
